date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2021-09-15,0.9187250434437249,0.9103447754196088,0.9280163887571956,0.5275011550374085,0.9820860861333736
2021-09-16,0.9187766048401675,0.9104731360854301,0.9280058145202498,0.5273406409174812,0.9821047845731755
2021-09-17,0.9188281662366102,0.9106014967512515,0.9279952402833039,0.5271801267975535,0.9821234830129775
2021-09-18,0.9188797276330529,0.9107298574170728,0.9279846660463579,0.5270196126776263,0.9821421814527794
2021-09-19,0.9189312890294961,0.9108582180828946,0.927974091809412,0.5268590985576989,0.9821608798925814
2021-09-20,0.9189828504259387,0.9109865787487159,0.9279635175724662,0.5266985844377712,0.9821795783323835
2021-09-21,0.9190344118223814,0.9111149394145377,0.9279529433355204,0.5265380703178439,0.9821982767721853
2021-09-22,0.9190859732188241,0.911243300080359,0.9279423690985745,0.5263775561979167,0.9822169752119874
2021-09-23,0.9191375346152668,0.9113716607461808,0.9279317948616287,0.526217042077989,0.9822356736517892
2021-09-24,0.91918909601171,0.9115000214120017,0.9279212206246826,0.5260565279580616,0.9822543720915913
2021-09-25,0.9192406574081526,0.9116283820778235,0.9279106463877372,0.5258960138381343,0.9822730705313931
2021-09-26,0.9192922188045958,0.9117567427436448,0.9279000721507912,0.5257354997182071,0.9822917689711952
2021-09-27,0.9193437802010385,0.9118851034094666,0.9278894979138453,0.5255749855982794,0.9823104674109971
2021-09-28,0.9193953415974812,0.9120134640752879,0.9278789236768995,0.525414471478352,0.9823291658507991
2021-09-29,0.9194469029939238,0.9121418247411097,0.9278683494399537,0.5252539573584247,0.9823478642906011
2021-09-30,0.9194984643903665,0.9122701854069306,0.9278577752030078,0.525093443238497,0.982366562730403
2021-10-01,0.9195500257868092,0.9123985460727524,0.927847200966062,0.5249329291185698,0.982385261170205
2021-10-02,0.9196015871832524,0.9125269067385737,0.9278366267291159,0.5247724149986426,0.9824039596100069
2021-10-03,0.919653148579695,0.9126552674043955,0.9278260524921701,0.5246119008787147,0.9824226580498089
2021-10-04,0.9197047099761377,0.9127836280702168,0.9278154782552243,0.5244513867587874,0.9824413564896108
2021-10-05,0.9197562713725809,0.9129119887360386,0.9278049040182784,0.5242908726388602,0.9824600549294128
2021-10-06,0.9198078327690236,0.91304034940186,0.9277943297813326,0.5241303585189325,0.9824787533692148
2021-10-07,0.9198593941654662,0.9131687100676813,0.9277837555443865,0.5239698443990053,0.9824974518090167
2021-10-08,0.9199109555619089,0.9132970707335026,0.9277731813074407,0.5238093302790778,0.9825161502488187
2021-10-09,0.9199625169583521,0.9134254313993244,0.9277626070704948,0.5236488161591502,0.9825348486886207
2021-10-10,0.9200140783547948,0.9135537920651458,0.927752032833549,0.5234883020392229,0.9825535471284227
2021-10-11,0.9200656397512375,0.9136821527309675,0.9277414585966032,0.5233277879192957,0.9825722455682246
2021-10-12,0.9201172011476801,0.9138105133967889,0.9277308843596573,0.5231672737993682,0.9825909440080266
2021-10-13,0.9201687625441228,0.9139388740626107,0.9277203101227113,0.5230067596794405,0.9826096424478286
2021-10-14,0.9202203239405655,0.9140672347284315,0.9277097358857654,0.5228462455595133,0.9826283408876305
2021-10-15,0.9202718853370087,0.9141955953942533,0.9276991616488196,0.5226857314395861,0.9826470393274325
2021-10-16,0.9203234467334513,0.9143239560600747,0.9276885874118738,0.5225252173196584,0.9826657377672344
2021-10-17,0.9203750081298945,0.9144523167258964,0.9276780131749279,0.5223647031997309,0.9826844362070364
2021-10-18,0.9204265695263372,0.9145806773917178,0.9276674389379821,0.5222041890798037,0.9827031346468383
2021-10-19,0.9204781309227799,0.9147090380575396,0.927656864701036,0.522043674959876,0.9827218330866403
2021-10-20,0.9205296923192225,0.9148373987233609,0.9276462904640902,0.5218831608399488,0.9827405315264423
2021-10-21,0.9205812537156652,0.9149657593891822,0.9276357162271444,0.5217226467200213,0.9827592299662442
2021-10-22,0.9206328151121079,0.9150941200550036,0.9276251419901985,0.5215621326000937,0.9827779284060463
2021-10-23,0.9206843765085511,0.9152224807208253,0.9276145677532529,0.5214016184801664,0.9827966268458482
2021-10-24,0.9207359379049938,0.9153508413866467,0.9276039935163071,0.5212411043602392,0.9828153252856502
2021-10-25,0.9207874993014364,0.9154792020524685,0.9275934192793612,0.5210805902403115,0.982834023725452
2021-10-26,0.9208390606978796,0.9156075627182898,0.9275828450424152,0.5209200761203843,0.9828527221652541
2021-10-27,0.9208906220943223,0.9157359233841116,0.9275722708054693,0.5207595620004568,0.9828714206050561
2021-10-28,0.920942183490765,0.9158642840499325,0.9275616965685235,0.5205990478805291,0.982890119044858
2021-10-29,0.9209937448872081,0.9159926447157543,0.9275511223315777,0.5204385337606019,0.98290881748466
2021-10-30,0.9210453062836508,0.9161210053815756,0.9275405480946318,0.5202780196406747,0.9829275159244619
2021-10-31,0.9210968676800935,0.9162493660473974,0.927529973857686,0.5201175055207472,0.9829462143642639
2021-11-01,0.9211484290765362,0.9163777267132187,0.9275193996207399,0.5199569914008195,0.9829649128040658
2021-11-02,0.9211999904729788,0.9165060873790405,0.9275088253837941,0.5197964772808923,0.9829836112438678
2021-11-03,0.9212515518694215,0.9166344480448618,0.9274982511468483,0.519635963160965,0.9830023096836698
2021-11-04,0.9213031132658647,0.9167628087106832,0.9274876769099024,0.5194754490410374,0.9830210081234718
2021-11-05,0.9213546746623074,0.9168911693765045,0.9274771026729566,0.5193149349211099,0.9830397065632737
2021-11-06,0.9214062360587505,0.9170195300423263,0.9274665284360107,0.5191544208011827,0.9830584050030756
2021-11-07,0.9214577974551932,0.9171478907081476,0.9274559541990647,0.518993906681255,0.9830771034428776
2021-11-08,0.9215093588516359,0.9172762513739694,0.9274453799621188,0.5188333925613278,0.9830958018826796
2021-11-09,0.9215609202480786,0.9174046120397907,0.927434805725173,0.5186728784414003,0.9831145003224816
2021-11-10,0.9216124816445213,0.9175329727056125,0.9274242314882272,0.5185123643214726,0.9831331987622836
2021-11-11,0.9216640430409639,0.9176613333714334,0.9274136572512813,0.5183518502015454,0.9831518972020855
2021-11-12,0.9217156044374071,0.9177896940372552,0.9274030830143353,0.5181913360816182,0.9831705956418875
2021-11-13,0.9217671658338498,0.9179180547030765,0.9273925087773894,0.5180308219616905,0.9831892940816894
2021-11-14,0.9218187272302925,0.9180464153688983,0.9273819345404436,0.517870307841763,0.9832079925214914
2021-11-15,0.9218702886267356,0.9181747760347196,0.9273713603034978,0.5177097937218358,0.9832266909612933
2021-11-16,0.9219218500231783,0.9183031367005414,0.9273607860665519,0.5175492796019081,0.9832453894010953
2021-11-17,0.921973411419621,0.9184314973663628,0.9273502118296061,0.5173887654819809,0.9832640878408972
2021-11-18,0.9220249728160637,0.9185598580321841,0.92733963759266,0.5172282513620536,0.9832827862806992
2021-11-19,0.9220765342125068,0.9186882186980054,0.9273290633557142,0.5170677372421262,0.9833014847205012
2021-11-20,0.9221280956089495,0.9188165793638272,0.9273184891187686,0.5169072231221985,0.9833201831603031
2021-11-21,0.9221796570053922,0.9189449400296485,0.9273079148818227,0.5167467090022713,0.9833388816001052
2021-11-22,0.9222312184018349,0.9190733006954703,0.9272973406448769,0.516586194882344,0.9833575800399071
2021-11-23,0.9222827797982776,0.9192016613612917,0.9272867664079311,0.5164256807624164,0.9833762784797091
2021-11-24,0.9223343411947202,0.9193300220271134,0.9272761921709852,0.5162651666424889,0.983394976919511
2021-11-25,0.9223859025911634,0.9194583826929343,0.9272656179340394,0.5161046525225617,0.983413675359313
2021-11-26,0.9224374639876061,0.9195867433587561,0.9272550436970933,0.515944138402634,0.983432373799115
2021-11-27,0.9224890253840492,0.9197151040245775,0.9272444694601475,0.5157836242827067,0.9834510722389169
2021-11-28,0.9225405867804919,0.9198434646903992,0.9272338952232017,0.5156231101627793,0.9834697706787189
2021-11-29,0.9225921481769346,0.9199718253562206,0.9272233209862558,0.5154625960428516,0.9834884691185208
2021-11-30,0.9226437095733773,0.9201001860220424,0.92721274674931,0.5153020819229244,0.9835071675583228
2021-12-01,0.92269527096982,0.9202285466878637,0.9272021725123639,0.5151415678029971,0.9835258659981247
2021-12-02,0.9227468323662631,0.920356907353685,0.9271915982754181,0.5149810536830695,0.9835445644379267
2021-12-03,0.9227983937627058,0.9204852680195064,0.9271810240384722,0.514820539563142,0.9835632628777287
2021-12-04,0.9228499551591485,0.9206136286853281,0.9271704498015264,0.5146600254432148,0.9835819613175307
2021-12-05,0.9229015165555912,0.9207419893511495,0.9271598755645806,0.5144995113232871,0.9836006597573326
2021-12-06,0.9229530779520343,0.9208703500169713,0.9271493013276347,0.5143389972033598,0.9836193581971346
2021-12-07,0.923004639348477,0.9209987106827926,0.9271387270906887,0.5141784830834324,0.9836380566369365
2021-12-08,0.9230562007449197,0.9211270713486139,0.9271281528537428,0.5140179689635052,0.9836567550767386
2021-12-09,0.9231077621413628,0.9212554320144353,0.927117578616797,0.5138574548435775,0.9836754535165404
2021-12-10,0.9231593235378055,0.921383792680257,0.9271070043798512,0.5136969407236502,0.9836941519563425
2021-12-11,0.9232108849342482,0.9215121533460784,0.9270964301429053,0.513536426603723,0.9837128503961444
2021-12-12,0.9232624463306909,0.9216405140119002,0.9270858559059593,0.5133759124837951,0.9837315488359464
2021-12-13,0.9233140077271336,0.9217688746777215,0.9270752816690134,0.5132153983638679,0.9837502472757483
2021-12-14,0.9233655691235763,0.9218972353435433,0.9270647074320676,0.5130548842439406,0.9837689457155503
2021-12-15,0.9234171305200194,0.9220255960093642,0.9270541331951218,0.512894370124013,0.9837876441553522
2021-12-16,0.9234686919164621,0.922153956675186,0.9270435589581759,0.5127338560040857,0.9838063425951542
2021-12-17,0.9235202533129052,0.9222823173410073,0.9270329847212301,0.5125733418841583,0.9838250410349563
2021-12-18,0.9235718147093479,0.9224106780068291,0.9270224104842845,0.5124128277642306,0.9838437394747581
2021-12-19,0.9236233761057906,0.9225390386726504,0.9270118362473386,0.5122523136443033,0.9838624379145601
